STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
122,8.070818,1.995116,2.683761,6.512821,-0.000226,0.114774,4.059022,0.550744,
1411,8.124542,2.019536,2.693529,6.517705,-0.049066,0.124542,8.970612,1.156282,
2575,8.183150,2.029304,2.698413,6.517705,-0.078370,0.124542,10.325864,1.338905,
3736,8.217338,2.034188,2.698413,6.522589,-0.122326,0.124542,10.681498,1.386963,
4891,8.241758,2.034188,2.698413,6.522589,-0.156514,0.124542,10.825674,1.406187,
6047,8.256410,2.034188,2.698413,6.522589,-0.176050,0.124542,10.835286,1.406187,
7202,8.261294,2.034188,2.698413,6.522589,-0.185818,0.124542,10.835286,1.396575,
8359,8.261294,2.034188,2.698413,6.522589,-0.200470,0.124542,10.835286,1.406187,
9515,8.261294,2.034188,2.698413,6.522589,-0.229774,0.124542,10.796839,1.396575,
10668,8.261294,2.034188,2.698413,6.522589,-0.268846,0.124542,10.662275,1.377352,
11825,8.261294,2.034188,2.698413,6.522589,-0.298150,0.124542,10.941015,1.425410,
12981,8.261294,2.034188,2.698413,6.522589,-0.332338,0.124542,10.873733,1.415799,
14133,8.261294,2.034188,2.698413,6.522589,-0.351874,0.124542,10.825674,1.406187,
15290,8.261294,2.034188,2.698413,6.522589,-0.376294,0.124542,10.835286,1.406187,
16445,8.256410,2.034188,2.698413,6.522589,-0.400714,0.124542,10.844897,1.415799,
17597,8.256410,2.034188,2.698413,6.522589,-0.425134,0.124542,10.854509,1.415799,
18752,8.251526,2.034188,2.698413,6.522589,-0.454438,0.124542,10.835286,1.406187,
19907,8.251526,2.034188,2.698413,6.522589,-0.483742,0.124542,10.691110,1.386963,
21062,8.241758,2.034188,2.698413,6.522589,-0.503278,0.124542,10.768004,1.396575,
22215,8.241758,2.039072,2.698413,6.522589,-0.527698,0.124542,10.950626,1.415799,
23371,8.236874,2.039072,2.698413,6.522589,-0.552118,0.124542,10.864121,1.415799,
24525,8.231990,2.034188,2.698413,6.522589,-0.576538,0.124542,10.854509,1.415799,
25682,8.222222,2.039072,2.698413,6.522589,-0.610726,0.124542,10.835286,1.406187,
26839,8.212454,2.034188,2.698413,6.522589,-0.640031,0.124542,10.873733,1.415799,
27996,8.207570,2.039072,2.698413,6.522589,-0.664451,0.124542,10.864121,1.415799,
29152,8.197802,2.039072,2.698413,6.522589,-0.693755,0.124542,10.844897,1.415799,
30307,8.188034,2.039072,2.698413,6.522589,-0.708407,0.124542,10.700722,1.396575,
