TIMESTAMP,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
49,7.35287,1.92186,2.37607,2.06838,3.68987,0.114774,0.989011,-1.06227,
1288,7.35287,1.91697,2.37118,2.06349,2.10745,0.0903541,1.16972,-3.41636,
2470,7.34799,1.91697,2.3663,2.06349,1.89744,0.0854701,1.19414,-3.80708,
3655,7.3431,1.91209,2.36142,2.05861,1.86325,0.0561661,1.20391,-3.88523,
4836,7.3431,1.9072,2.36142,2.05861,1.85348,0.03663,1.19902,-3.89988,
6018,7.3431,1.91209,2.36142,2.05861,1.8486,0.026862,1.18926,-3.90965,
7197,7.33822,1.91209,2.3663,2.05861,1.83883,-0.002442,1.18926,-3.90965,
8377,7.33822,1.91209,2.3663,2.05861,1.83394,-0.01221,1.18926,-3.90476,
9555,7.33822,1.9072,2.3663,2.05861,1.82906,-0.041514,1.18926,-3.90965,
10739,7.33822,1.91209,2.3663,2.05861,1.82418,-0.0610501,1.18926,-3.90476,
11917,7.33822,1.91209,2.3663,2.05861,1.82418,-0.0757021,1.18926,-3.90965,
13098,7.33822,1.91209,2.3663,2.05861,1.81929,-0.100122,1.18926,-3.90965,
14276,7.33822,1.91697,2.3663,2.05861,1.81929,-0.114774,1.18926,-3.90965,
15455,7.33822,1.91209,2.3663,2.05861,1.81441,-0.13431,1.18437,-3.91453,
16632,7.33822,1.91697,2.3663,2.06349,1.81441,-0.153846,1.18437,-3.91453,
17818,7.33822,1.91209,2.3663,2.05861,1.80952,-0.168498,1.18437,-3.90965,
19000,7.33822,1.91697,2.3663,2.05861,1.80952,-0.188034,1.18437,-3.91453,
20177,7.33822,1.91209,2.3663,2.05861,1.80952,-0.20757,1.18437,-3.91453,
21353,7.33822,1.91209,2.3663,2.05861,1.80464,-0.222222,1.18437,-3.91453,
22531,7.3431,1.91697,2.3663,2.05861,1.80464,-0.236874,1.18437,-3.90965,
23709,7.33822,1.91209,2.3663,2.06349,1.80464,-0.251526,1.17949,-4.0757,
24888,7.3431,1.91209,2.3663,2.05861,1.80464,-0.271062,1.17949,-3.91453,
26065,7.3431,1.91209,2.3663,2.06349,1.80464,-0.285714,1.17949,-3.91453,
27256,7.33822,1.91209,2.3663,2.06349,1.80464,-0.300366,1.17949,-3.91453,
28444,7.33822,1.91209,2.3663,2.06349,1.79976,-0.319902,1.17949,-3.91453,
29624,7.33822,1.91209,2.3663,2.05861,1.79976,-0.32967,1.17949,-3.91453,
30807,7.33822,1.91697,2.3663,2.06349,1.79976,-0.344322,1.17949,-3.90965,
31986,7.33822,1.91209,2.3663,2.06349,1.79976,-0.363858,1.17949,-4.0757,
33165,7.3431,1.91697,2.3663,2.06349,1.79976,-0.373626,1.17949,-3.91453,
34343,7.3431,1.91209,2.3663,2.06349,1.79976,-0.388278,1.17949,-4.07082,
35527,7.3431,1.91209,2.3663,2.06349,1.79976,-0.40293,1.1746,-3.91453,
36703,7.3431,1.92186,2.3663,2.06349,1.79976,-0.412698,1.1746,-3.91453,
37881,7.33822,1.91209,2.3663,2.06349,1.79976,-0.432234,1.1746,-3.91453,
39061,7.3431,1.91697,2.3663,2.06349,1.79976,-0.442002,1.1746,-3.91453,
40240,7.3431,1.91697,2.3663,2.06349,1.79976,-0.456654,1.1746,-3.91453,
41418,7.3431,1.91209,2.37118,2.06349,1.79976,-0.47619,1.1746,-3.91453,
42597,7.3431,1.91697,2.37118,2.06349,1.79976,-0.485958,1.1746,-3.91453,
43777,7.3431,1.91209,2.3663,2.06838,1.79976,-0.505495,1.18926,-3.91453,
44957,7.3431,1.91697,2.3663,2.06349,1.79976,-0.510379,1.21856,-3.90965,
46148,7.3431,1.91209,2.37118,2.06349,1.79976,-0.529915,1.18437,-3.91453,
47330,7.3431,1.91697,2.3663,2.06349,1.79976,-0.539683,1.1746,-3.91453,
48507,7.3431,1.91697,2.3663,2.06349,1.79976,-0.559219,1.1746,-3.91453,
49686,7.3431,1.91697,2.3663,2.06349,1.79976,-0.568987,1.17949,-3.91941,
50866,7.3431,1.91209,2.3663,2.06838,1.79976,-0.583639,1.20391,-3.90965,
52044,7.3431,1.91697,2.3663,2.06349,1.79976,-0.593407,1.17949,-3.91453,
53223,7.3431,1.92186,2.3663,2.06349,1.79976,-0.608059,1.1746,-3.91941,
54400,7.3431,1.91209,2.3663,2.06349,1.79976,-0.617827,1.16972,-3.91453,
55581,7.3431,1.91209,2.3663,2.06838,1.79976,-0.632479,1.17949,-3.91941,
56759,7.3431,1.91697,2.3663,2.06349,1.79976,-0.642247,1.19902,-3.91941,
57943,7.3431,1.91697,2.3663,2.06838,1.79976,-0.661783,1.18437,-3.91453,
59126,7.3431,1.91697,2.3663,2.06838,1.80464,-0.666667,1.20391,-3.91453,
